group_id,mouse,line,depth_class,cohort,state,odor_id,unit_id,positive_auc_z_s_soma,negative_auc_z_s_soma,positive_auc_z_s_process,negative_auc_z_s_process
177,m442,DAT,superficial,DAT superficial,pre,21,g4,0.010845643664646146,5.517979201250953,0.08695409657253741,2.8322318045437163
177,m442,DAT,superficial,DAT superficial,pre,21,g5,22.499781144924306,0.13554516813251494,31.469344512011947,0.18782309635848995
177,m442,DAT,superficial,DAT superficial,pre,21,g7,4.094045943246316,0.09514084194914815,6.3004611700051685,0.11137408079206464
177,m442,DAT,superficial,DAT superficial,pre,21,g8,8.952188421957919,0.12676253522300718,6.7595268999688916,0.08531935936820982
177,m442,DAT,superficial,DAT superficial,pre,21,g9,6.395174431638564,0.15492405506000514,6.959655437171055,0.11870586571495054
177,m442,DAT,superficial,DAT superficial,pre,21,g10,0.31133408510633453,1.8490151309948368,0.6664975996129986,0.9113681474156657
177,m442,DAT,superficial,DAT superficial,pre,21,g11,2.7455498030033385,0.17961287514006605,3.2397623088435727,0.07375802539097785
177,m442,DAT,superficial,DAT superficial,pre,21,g13,5.394895606546339,0.19056437258259767,0.4670049862962234,1.2361337889973354
177,m442,DAT,superficial,DAT superficial,pre,21,g14,4.4839677534512745,0.43839742930320735,4.104295695612057,0.17974618195329667
177,m442,DAT,superficial,DAT superficial,pre,21,g15,0.18281597410242317,2.165657564488849,0.4275719200178645,1.4255811618725163
177,m442,DAT,superficial,DAT superficial,pre,21,g16,0.35345834738693116,1.6858648412907276,0.6818765383933191,0.7987014087286624
177,m442,DAT,superficial,DAT superficial,pre,21,g18,0.03482228450981139,5.002233427290521,0.21845953140532487,2.1538145325769604
177,m442,DAT,superficial,DAT superficial,pre,21,g19,5.969748304578322,0.12085573856223104,4.659058440192002,0.11488537517246243
177,m442,DAT,superficial,DAT superficial,pre,21,g20,37.04221851374129,0.11420408009536741,7.239512367789057,0.04081078557071685
177,m442,DAT,superficial,DAT superficial,pre,21,g22,18.669276635739543,0.24474920939723965,20.931815321739926,0.08690792039674756
177,m442,DAT,superficial,DAT superficial,pre,21,g24,0.19081887791580673,1.681062607147643,0.8279126341156052,0.6438826746289158
177,m442,DAT,superficial,DAT superficial,pre,21,g25,0.6243104553649519,1.242896062598027,2.332060451311769,0.254696077682814
177,m442,DAT,superficial,DAT superficial,pre,21,g26,2.0563096843365956,0.22038576837528348,3.9737509165488754,0.14651002968692778
177,m442,DAT,superficial,DAT superficial,pre,21,g29,4.8255359727583675,0.14028638752359865,5.578461441540011,0.19070642812076571
177,m442,DAT,superficial,DAT superficial,pre,21,g30,0.447128019466438,1.7696930580586192,0.7279679594256445,0.6357098371901427
