group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,n_odors,tuning_reliability_signed,tuning_reliability_excitation,tuning_reliability_suppression
225,m357,TH,superficial,TH superficial,somas,g26,post,15,0.28779165682662505,0.3619478283182927,0.031412655486234085
225,m357,TH,superficial,TH superficial,somas,g27,post,15,0.1397621480862975,0.10649732972220947,-0.072914309011858
225,m357,TH,superficial,TH superficial,somas,g28,post,15,0.350873759046623,0.3770630005180083,-0.07619798391936969
225,m357,TH,superficial,TH superficial,somas,g29,post,15,-0.06692600165944944,-0.04702504833219888,-0.12900157012587118
225,m357,TH,superficial,TH superficial,somas,g30,post,15,0.27737979954665115,0.3190773203646692,-0.1192262629840526
225,m357,TH,superficial,TH superficial,somas,g31,post,15,-0.38569583562461945,-0.3647487464760719,-0.13123745243867402
225,m357,TH,superficial,TH superficial,somas,g32,post,15,0.5124651330164197,0.553388787860725,-0.08866041143069872
225,m357,TH,superficial,TH superficial,somas,g33,post,15,-0.3032774852145861,-0.22290785529997192,-0.1220651952918112
225,m357,TH,superficial,TH superficial,somas,g34,post,15,0.02835148990127334,0.14147802529125142,-0.10318482088941808
225,m357,TH,superficial,TH superficial,somas,g35,post,15,0.1256863695306262,0.14090527999846053,-0.1863136829595159
225,m357,TH,superficial,TH superficial,somas,g36,post,15,0.21059421981391846,0.08234856752278755,0.3874538218336322
225,m357,TH,superficial,TH superficial,somas,g37,post,15,0.12159524391399706,-0.09327511102424219,0.1284104003832815
225,m357,TH,superficial,TH superficial,somas,g38,post,15,-0.19527257438437695,-0.1812361338402285,-0.21206885498558725
225,m357,TH,superficial,TH superficial,somas,g39,post,15,-0.25335101492781653,-0.19245218539985598,-0.07142857142857142
225,m357,TH,superficial,TH superficial,somas,g40,post,15,0.02482464074765553,-0.04090529919412336,-0.0016964294067069118
225,m357,TH,superficial,TH superficial,somas,g41,post,15,0.29476412576316297,0.2408375268259269,0.17169049575804035
225,m357,TH,superficial,TH superficial,somas,g42,post,15,0.5362248572552571,0.45498772812740523,0.8781393080889128
225,m357,TH,superficial,TH superficial,somas,g43,post,15,0.3932338394120193,0.40493917771668575,0.13643212384568024
