group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,suppression_vs_pupil_rho,suppression_vs_running_rho,excitation_vs_pupil_rho,excitation_vs_running_rho
175,m442,DAT,superficial,DAT superficial,somas,g93,88,0.06896551724137931,0.03651483716701107,-0.10572603934379954,-0.054772255750516606,0.08408420428659526
175,m442,DAT,superficial,DAT superficial,somas,g94,88,0.06896551724137931,-0.018257418583505537,-0.007579160717395404,-0.27386127875258304,0.19829127859468068
175,m442,DAT,superficial,DAT superficial,somas,g95,88,0.06896551724137931,-0.09128709291752769,0.0993085846468718,-0.3468909530866052,0.15026203583819359
175,m442,DAT,superficial,DAT superficial,somas,g96,88,0.06896551724137931,0.43817804600413285,-0.11482478203607578,-0.2008316044185609,0.476412566674676
175,m442,DAT,superficial,DAT superficial,somas,g97,88,0.06896551724137931,0.237346441585572,-0.398890215652996,-0.5294651389216606,0.5340423732684216
175,m442,DAT,superficial,DAT superficial,somas,g98,88,0.06896551724137931,0.07302967433402215,-0.2794204469478812,0.18257418583505539,0.13877218673204333
175,m442,DAT,superficial,DAT superficial,somas,g99,88,0.06896551724137931,0.237346441585572,0.14904214768089055,0.0,0.04222926909884051
175,m442,DAT,superficial,DAT superficial,somas,g100,88,0.06896551724137931,0.2556038601690775,-0.27762094847613134,-0.6755244875897048,0.35875281252787006
175,m442,DAT,superficial,DAT superficial,somas,g101,88,0.06896551724137931,0.1643167672515498,0.01043295223676573,0.0,-0.02410269994555784
175,m442,DAT,superficial,DAT superficial,somas,g102,88,0.06896551724137931,0.3286335345030996,-0.15283796790609644,-0.12780193008453875,-0.0731888855098165
175,m442,DAT,superficial,DAT superficial,somas,g103,88,0.06896551724137931,0.018257418583505537,-0.25539373833453705,-0.38340579025361626,0.4406130329897793
175,m442,DAT,superficial,DAT superficial,somas,g104,88,0.06896551724137931,-0.31037611591959413,-0.17274288865597673,-0.12780193008453875,0.23770643746782935
175,m442,DAT,superficial,DAT superficial,somas,g105,88,0.06896551724137931,0.36514837167011077,0.3177082001594069,-0.49295030175464954,-0.19634914618540036
175,m442,DAT,superficial,DAT superficial,somas,g106,88,0.06896551724137931,0.237346441585572,-0.10834592272220789,-0.6390096504226939,0.2809750336609786
175,m442,DAT,superficial,DAT superficial,somas,g107,88,0.06896551724137931,0.6755244875897048,-0.297344435396341,-0.4564354645876384,0.4786938015681163
175,m442,DAT,superficial,DAT superficial,somas,g108,88,0.06896551724137931,0.3468909530866052,-0.23356880170940778,-0.4564354645876384,0.3202756903966187
175,m442,DAT,superficial,DAT superficial,somas,g109,88,0.06896551724137931,0.4016632088371218,-0.06143039677335764,0.09128709291752769,0.1423311875643865
175,m442,DAT,superficial,DAT superficial,somas,g110,88,0.06896551724137931,0.054772255750516606,-0.05886031684844041,-0.2008316044185609,0.11286387615654235
175,m442,DAT,superficial,DAT superficial,somas,g111,88,0.06896551724137931,-0.03651483716701107,0.010886894423444067,0.0,0.23187563631162278
175,m442,DAT,superficial,DAT superficial,somas,g112,88,0.06896551724137931,0.6937819061732104,-0.12857709256541325,-0.7850689990907381,0.5009072162447824
175,m442,DAT,superficial,DAT superficial,somas,g113,88,0.06896551724137931,-0.3286335345030996,0.10520335697829604,-0.1643167672515498,0.12399260313670399
175,m442,DAT,superficial,DAT superficial,somas,g114,88,0.06896551724137931,-0.2008316044185609,-0.2944694527123239,-0.27386127875258304,0.5551371901401961
175,m442,DAT,superficial,DAT superficial,somas,g115,88,0.06896551724137931,0.07302967433402215,-0.17708145431766179,-0.2921186973360886,0.5812436774921542
175,m442,DAT,superficial,DAT superficial,somas,g116,88,0.06896551724137931,0.4564354645876384,0.01795049105827654,-0.5477225575051661,0.23141762776158842
175,m442,DAT,superficial,DAT superficial,somas,g117,88,0.06896551724137931,-0.12780193008453875,-0.2820176270615744,-0.1643167672515498,0.5734134928579132
175,m442,DAT,superficial,DAT superficial,somas,g118,88,0.06896551724137931,0.12780193008453875,-0.2587087718439239,-0.49295030175464954,0.19413837414581148
175,m442,DAT,superficial,DAT superficial,somas,g119,88,0.06896551724137931,0.2008316044185609,0.032633971363075574,0.0,-0.33132514666619745
175,m442,DAT,superficial,DAT superficial,somas,g120,88,0.06896551724137931,-0.2556038601690775,0.04967190803689875,0.12780193008453875,0.07696745604759991
175,m442,DAT,superficial,DAT superficial,somas,g121,88,0.06896551724137931,0.4199206274206274,-0.2710861978509427,-0.6024948132556827,0.5604615395343454
175,m442,DAT,superficial,DAT superficial,somas,g122,88,0.06896551724137931,0.03651483716701107,-0.2989884171828882,-0.12780193008453875,0.7093011065104132
175,m442,DAT,superficial,DAT superficial,somas,g123,88,0.06896551724137931,0.3286335345030996,0.14629850030905014,-0.07302967433402215,0.03605543781023857
